token_id,bucket_object,bucket_url,local_source,dump_file,copied,size,updated,md5Hash,metadata_file_in_bucket
"1022","1022.png","https://storage.googleapis.com/seared-wagdie-images/1022.png","public/images/characters/1022.png","data/gcs-bucket-dump/images/1022.png","true","8067","2023-09-06T19:31:14.460Z","n+Vjr7xSuExsixvfW3iD4w==","false"
"1023","1023.png","https://storage.googleapis.com/seared-wagdie-images/1023.png","public/images/characters/1023.png","data/gcs-bucket-dump/images/1023.png","true","7554","2023-09-06T19:31:14.985Z","3pUUWm5qjT7IO60ABHqHRA==","false"
"1024","1024.png","https://storage.googleapis.com/seared-wagdie-images/1024.png","public/images/characters/1024.png","data/gcs-bucket-dump/images/1024.png","true","7915","2023-09-06T19:31:15.437Z","KhBH5r8b4qZiwE14bzMlVQ==","false"
"1025","1025.png","https://storage.googleapis.com/seared-wagdie-images/1025.png","public/images/characters/1025.png","data/gcs-bucket-dump/images/1025.png","true","8518","2023-09-06T19:31:15.932Z","CxM5D5N5CcsUGX9aO1cNDA==","false"
"1026","1026.png","https://storage.googleapis.com/seared-wagdie-images/1026.png","public/images/characters/1026.png","data/gcs-bucket-dump/images/1026.png","true","8089","2023-09-06T19:31:16.499Z","ZutA+VMACxFK9To31YdfyQ==","false"
"1027","1027.png","https://storage.googleapis.com/seared-wagdie-images/1027.png","public/images/characters/1027.png","data/gcs-bucket-dump/images/1027.png","true","7880","2023-09-06T19:31:17.002Z","TJBwGseLx7Q+Ze0TJtJQCQ==","false"
"1028","1028.png","https://storage.googleapis.com/seared-wagdie-images/1028.png","public/images/characters/1028.png","data/gcs-bucket-dump/images/1028.png","true","8220","2023-09-06T19:31:17.521Z","7jToKCMdmL9QtLHezefjqQ==","false"
"1029","1029.png","https://storage.googleapis.com/seared-wagdie-images/1029.png","public/images/characters/1029.png","data/gcs-bucket-dump/images/1029.png","true","8312","2023-09-06T19:31:18.027Z","A2EyO91H3j2hFlsp9E8yWQ==","false"
"103","103.png","https://storage.googleapis.com/seared-wagdie-images/103.png","public/images/characters/103.png","data/gcs-bucket-dump/images/103.png","true","8116","2023-09-06T19:31:18.610Z","TrjMr/xU2XTkGEY6+KMvSw==","false"
"1030","1030.png","https://storage.googleapis.com/seared-wagdie-images/1030.png","public/images/characters/1030.png","data/gcs-bucket-dump/images/1030.png","true","8608","2023-07-09T02:14:35.489Z","ZSrWSYM3lgp5UKZRin6nXg==","false"
"1031","1031.png","https://storage.googleapis.com/seared-wagdie-images/1031.png","public/images/characters/1031.png","data/gcs-bucket-dump/images/1031.png","true","7832","2023-09-06T19:31:19.087Z","Slj7L7PK36PVY9Sm0wLG8g==","false"
"1032","1032.png","https://storage.googleapis.com/seared-wagdie-images/1032.png","public/images/characters/1032.png","data/gcs-bucket-dump/images/1032.png","true","8303","2023-09-06T19:31:19.580Z","2DOzOZCyNbBWwrY7gravxQ==","false"
"1033","1033.png","https://storage.googleapis.com/seared-wagdie-images/1033.png","public/images/characters/1033.png","data/gcs-bucket-dump/images/1033.png","true","9043","2023-09-06T19:31:20.191Z","vUIb75C7snMjU29woPeS7w==","false"
"1034","1034.png","https://storage.googleapis.com/seared-wagdie-images/1034.png","public/images/characters/1034.png","data/gcs-bucket-dump/images/1034.png","true","7874","2023-09-06T19:31:20.720Z","fV+rlvgMSlLfpRV76BqgxQ==","false"
"1035","1035.png","https://storage.googleapis.com/seared-wagdie-images/1035.png","public/images/characters/1035.png","data/gcs-bucket-dump/images/1035.png","true","8309","2023-09-06T19:31:21.286Z","ewwYJbAhGWahbYFc/ndWMQ==","false"
"1036","1036.png","https://storage.googleapis.com/seared-wagdie-images/1036.png","public/images/characters/1036.png","data/gcs-bucket-dump/images/1036.png","true","9208","2023-09-06T19:31:22.498Z","UO73YJ4pZbf04icZYRiQow==","false"
"1037","1037.png","https://storage.googleapis.com/seared-wagdie-images/1037.png","public/images/characters/1037.png","data/gcs-bucket-dump/images/1037.png","true","9072","2023-09-06T19:31:23.121Z","vWG9AVCOtMvKLlSB4b1OnA==","false"
"1038","1038.png","https://storage.googleapis.com/seared-wagdie-images/1038.png","public/images/characters/1038.png","data/gcs-bucket-dump/images/1038.png","true","9284","2023-09-06T19:31:23.709Z","a/5SEKG5e8VAz5o5WUMWjw==","false"
"1039","1039.png","https://storage.googleapis.com/seared-wagdie-images/1039.png","public/images/characters/1039.png","data/gcs-bucket-dump/images/1039.png","true","9038","2023-09-06T19:31:24.234Z","yPrevHG5s8EMEFe3wXiIpg==","false"
"104","104.png","https://storage.googleapis.com/seared-wagdie-images/104.png","public/images/characters/104.png","data/gcs-bucket-dump/images/104.png","true","8437","2023-09-06T19:31:24.677Z","zNMnGaqjStJURBQTLoneXg==","false"
"1040","1040.png","https://storage.googleapis.com/seared-wagdie-images/1040.png","public/images/characters/1040.png","data/gcs-bucket-dump/images/1040.png","true","8466","2023-09-06T19:31:25.388Z","fXq/3b4KWp5BORzbwtyEKQ==","false"
